flow_id,src_ip,dst_ip,flow_duration,packet_rate,byte_rate,pkt_iat_mean,pkt_iat_std,packet_len_mean,packet_in_count,tcp_flags_syn_count,flow_active_ratio,rsu_channel_occupancy,label
0,10.0.4.59,192.168.1.23,28.5707,56.48,65230.3,18.83,4.53,1236.88,0,2,0.745,0.246,0
1,10.0.2.243,192.168.1.10,1.6688,57.67,25608.94,23.02,4.5,975.42,3,2,0.703,0.436,0
2,10.0.2.219,192.168.1.45,7.6959,57.79,38989.02,25.65,5.75,942.03,2,0,0.842,0.208,0
3,10.0.3.164,192.168.1.34,26.95,38.41,1062942.23,20.86,4.77,1471.64,1,1,0.77,0.336,3
4,10.0.2.132,192.168.1.2,27.8627,831.4,834333.16,0.21,4.66,1174.72,326,1,0.866,0.765,1
5,10.0.1.63,192.168.1.186,7.8436,832.43,871256.99,0.94,4.44,991.03,385,1,0.751,0.959,1
6,10.0.3.191,192.168.1.122,14.2395,59.61,45852.35,13.01,4.31,1112.62,0,0,0.927,0.268,0
7,10.0.1.102,192.168.1.114,25.9612,50.05,47654.13,2.99,4.16,948.59,3,58,0.943,0.441,2
8,10.0.2.199,192.168.1.215,8.7366,41.98,1039145.77,21.72,4.84,1457.25,3,1,0.72,0.292,3
9,10.0.1.169,192.168.1.129,3.6184,64.01,45065.68,24.62,8.41,1131.04,0,1,0.861,0.244,0
10,10.0.1.38,192.168.1.161,25.2936,61.69,58733.17,21.03,2.11,845.84,2,0,0.949,0.441,0
11,10.0.2.129,192.168.1.111,10.8319,582.04,580656.89,0.98,6.24,1182.56,198,0,0.925,0.774,1
12,10.0.2.231,192.168.1.110,21.065,38.09,56565.54,15.13,6.57,1173.79,4,0,0.766,0.261,0
13,10.0.2.118,192.168.1.7,27.2769,41.79,30636.24,15.76,7.73,1175.8,2,2,0.949,0.317,0
14,10.0.4.176,192.168.1.87,1.4482,48.76,57403.41,17.74,6.55,1156.84,1,2,0.843,0.224,0
15,10.0.3.58,192.168.1.37,8.3707,46.58,39745.0,14.08,5.9,1266.84,1,0,0.853,0.22,0
16,10.0.4.102,192.168.1.226,19.849,622.64,477439.61,0.42,6.52,884.08,371,1,0.772,0.765,1
17,10.0.3.20,192.168.1.93,8.8747,47.63,49523.56,4.18,4.22,1065.7,2,38,0.942,0.379,2
18,10.0.1.95,192.168.1.239,8.275,800.36,523143.19,0.14,4.31,1027.58,322,0,0.842,0.527,1
19,10.0.4.25,192.168.1.81,6.0846,55.78,1225112.52,25.48,9.23,1498.67,0,2,0.704,0.433,3
20,10.0.2.9,192.168.1.94,1.7688,556.19,515773.19,0.4,1.21,1192.08,138,2,0.717,0.495,1
21,10.0.4.38,192.168.1.13,1.6749,44.11,58496.02,4.47,3.61,1134.94,3,46,0.793,0.394,2
22,10.0.3.29,192.168.1.207,22.7753,53.07,45920.85,21.31,5.02,1139.64,3,0,0.926,0.223,0
23,10.0.4.146,192.168.1.231,14.9931,853.71,978388.78,0.79,3.39,783.9,110,3,0.884,0.74,1
24,10.0.3.174,192.168.1.142,21.3281,52.69,45289.62,21.16,2.1,788.88,5,2,0.927,0.228,0
25,10.0.1.62,192.168.1.48,17.5727,58.52,57683.39,22.77,6.47,834.37,2,1,0.901,0.444,0
